,num_peaks,signal_entropy,naming_orig,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__approximate_entropy__m_2__r_0.1,value__ar_coefficient__coeff_7__k_10,value__autocorrelation__lag_7,value__benford_correlation,value__count_below_mean,"value__fft_aggregated__aggtype_""variance""","value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_98","value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""real""__coeff_96",value__fourier_entropy__bins_10,value__fourier_entropy__bins_100,value__length,value__number_cwt_peaks__n_1,value__number_cwt_peaks__n_5,value__number_peaks__n_10,value__number_peaks__n_3,value__number_peaks__n_5,value__partial_autocorrelation__lag_7,value__range_count__max_1000000000000.0__min_0
471,192,6.061819274166616,mipt_alpha_423,0.03447223141189919,0.9147109468566619,0.3126672489194534,0.3811824100078768,0.6658631428018011,352.0,10990.573150915137,32343172.259800117,532904098.64539284,-54.93807511984206,-23.155053791195265,49.311847005559635,70301570.60166362,449795547.5442629,0.31844935427108895,2.249820418060079,671.0,55.0,65.0,29.0,98.0,63.0,0.30758756203660365,671.0
472,195,5.996742182201009,mipt_alpha_424,0.020785729703284097,0.9536277158310602,0.30324127465681533,0.387227074897722,0.8925888506061797,374.0,11171.738109346355,43356687.5523714,244345310.7466854,-14.783229406127191,-118.5814427367125,-35.38338228934518,33070129.023491494,194190542.40493315,0.46986301585194695,2.52540451097471,671.0,53.0,64.0,27.0,95.0,66.0,0.28542133126025687,671.0
473,189,5.99052409642747,mipt_alpha_425,0.03587161243202546,0.9368723121865195,0.31097791475494524,0.4024363720771605,0.6954154090498657,359.0,11173.95801942092,5880324.686058753,389291178.90712345,-92.12299318230286,-103.46560133735476,102.25832511948207,21622714.1571797,301554049.2827511,0.2909255491410393,2.102760010606198,671.0,52.0,60.0,29.0,90.0,60.0,0.31651579871024277,671.0
474,196,6.056573655847085,mipt_alpha_426,0.023269832988065127,0.9198648657353852,0.259657398392526,0.3460175035857345,0.611491201503065,371.0,11141.940591513408,26942106.747281563,390508992.0579447,8.641934278245683,-60.97283283469118,78.0119154136449,39961682.13740977,318577980.062058,0.47532741241425525,2.41607474941438,671.0,61.0,60.0,33.0,93.0,63.0,0.2551079922634407,671.0
475,131,5.468256738315245,mipt_alpha_427,0.01952769398265137,0.6201543327209578,0.25391687909376104,0.2815257783642903,0.11583695657050877,220.0,5092.048094590471,196966832.68948823,24993639.69996103,76.97327242637976,41.250617218204084,-143.28868836610786,14166630.397683725,21008965.20873611,0.4876131538814358,2.553518434780678,426.0,36.0,42.0,19.0,59.0,42.0,0.2689479302613182,426.0
476,195,5.998795250212045,mipt_alpha_428,0.04959623631692393,0.9792569240530122,0.3774536349867089,0.5043049812928555,0.7748827076209713,351.0,11134.660021293643,17144435.85407636,779373162.9728262,-36.33100065950526,-41.23777339444187,-7.267344507471228,48103248.7825727,630811024.7835536,0.2990539114982909,1.8178486784183698,671.0,46.0,60.0,32.0,94.0,65.0,0.3806352901077117,671.0
477,195,5.8804671171196405,mipt_alpha_429,0.03469688599580602,0.9258741431505415,0.4110278678616065,0.4640530209089544,0.44681085396396564,340.0,11476.128450115833,17364563.831568237,351676275.1180839,15.497217494264508,-7.784022727623664,60.193656831137766,80577694.1178833,272494662.8434558,0.2909255491410393,2.00176766931667,671.0,44.0,49.0,29.0,91.0,58.0,0.40995518531387554,671.0
478,193,6.0914259612640675,mipt_alpha_43,0.025665107738000313,1.104077268092425,0.34123552358370396,0.3939555081415108,0.9453846567959077,386.0,10954.638640107089,4178180.7294585253,155981167.83788276,-176.14544080400336,-29.43476309404083,51.314675243862915,20612040.898981113,125544724.39001721,0.29092554914103935,2.1405919071003794,671.0,50.0,60.0,29.0,92.0,67.0,0.34433312623621337,671.0
479,191,5.959462913808485,mipt_alpha_430,0.029786885716375305,0.8819828010543613,0.23658504373961045,0.3715896314075478,0.6179777799943743,341.0,11238.381729209173,33169774.194216106,761000666.6205665,56.089780063065135,-130.0420947687508,82.09281861892624,120542765.70187208,678066653.5530591,0.2008143345862542,2.213010004653729,671.0,57.0,56.0,29.0,98.0,66.0,0.23534927743954226,671.0
480,104,5.607053893130974,mipt_alpha_431,0.007746851581498813,1.045779225268047,0.1597240967498443,0.19777618428703914,0.9906848046094666,227.0,2766.180971848483,11587638.496467372,23809763.494323805,-166.80131839422623,113.37722036058156,78.32042585252815,20183696.910990324,-2841779.5653431937,0.9527555877712888,3.0050498847212594,343.0,33.0,34.0,14.0,50.0,26.0,0.16321224676590135,343.0
